latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemin,humidity,precip,preciptype,cloudcover,conditions,description,stations
39.952,-75.162,2020-11-22,57.4,46.5,51.2,41.5,67.4,0,,100,Overcast,Cloudy skies throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2020-11-23,58.8,43.6,52.1,38.7,66.1,0.264,rain,76.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2020-11-24,49,36.6,43,32.2,56.1,0,,35.4,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2020-11-25,55.6,41.7,49,39.1,62.8,0,,75,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,1338W,KPNE"
39.952,-75.162,2020-11-26,66.3,51,59.2,51,76.3,0.486,rain,75.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2020-11-27,58.4,48.4,53.1,48.4,72,0,,80.4,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2020-11-28,56.3,42.8,50.7,39.4,61.5,0,,55.5,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2020-11-29,55.1,34.4,44.8,31.1,56.5,0,,22.3,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2020-11-30,66.7,42.8,56.6,41.2,88,1.301,rain,89.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"F7863,F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2020-12-01,53.3,37.7,44.7,28.2,66.9,0.014,rain,73.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
